

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
695.187  000.925  000.925: sourcing /root/.vim/bundle/tabular/autoload/tabular.vim
704.198  011.375  010.450: sourcing /root/.vim/bundle/tabular/after/plugin/TabularMaps.vim
705.585  003.724: loading after plugins
705.642  000.057: inits 3
706.954  001.312: reading viminfo
707.015  000.061: setting raw mode
707.045  000.030: start termcap
707.174  000.129: clearing screen
712.019  001.172  001.172: sourcing /root/.vim/bundle/vim-airline/autoload/airline/extensions.vim
712.871  000.238  000.238: sourcing /root/.vim/bundle/vim-airline/autoload/airline/extensions/quickfix.vim
714.043  000.682  000.682: sourcing /root/.vim/bundle/vim-airline/autoload/airline.vim
714.988  000.164  000.164: sourcing /root/.vim/bundle/vim-airline/autoload/airline/extensions/netrw.vim
716.702  000.270  000.270: sourcing /root/.vim/bundle/vim-airline/autoload/airline/section.vim
718.499  000.822  000.822: sourcing /root/.vim/bundle/vim-airline/autoload/airline/highlighter.vim
719.221  003.518  002.426: sourcing /root/.vim/bundle/vim-airline/autoload/airline/extensions/term.vim
720.260  000.287  000.287: sourcing /root/.vim/bundle/vim-airline/autoload/airline/extensions/ctrlp.vim
721.188  000.159  000.159: sourcing /root/.vim/bundle/vim-airline/autoload/airline/extensions/undotree.vim
722.266  000.427  000.427: sourcing /root/.vim/bundle/vim-airline/autoload/airline/extensions/hunks.vim
724.053  000.845  000.845: sourcing /root/.vim/bundle/vim-airline/autoload/airline/extensions/branch.vim
725.040  000.150  000.150: sourcing /root/.vim/bundle/vim-airline/autoload/airline/extensions/bufferline.vim
726.359  000.239  000.239: sourcing /root/.vim/bundle/vim-airline/autoload/airline/extensions/syntastic.vim
727.794  000.504  000.504: sourcing /root/.vim/bundle/vim-airline/autoload/airline/extensions/whitespace.vim
729.289  000.294  000.294: sourcing /root/.vim/bundle/vim-airline/autoload/airline/extensions/po.vim
730.422  000.400  000.400: sourcing /root/.vim/bundle/vim-airline/autoload/airline/extensions/wordcount.vim
731.506  000.132  000.132: sourcing /root/.vim/bundle/vim-airline/autoload/airline/extensions/keymap.vim
766.425  000.213  000.213: sourcing /root/.vim/bundle/vim-airline/autoload/airline/themes.vim
768.027  003.698  003.485: sourcing /root/.vim/bundle/vim-airline-themes/autoload/airline/themes/solarized.vim
782.109  002.862  002.862: sourcing /root/.vim/bundle/vim-airline-themes/autoload/airline/themes/solarized.vim
874.707  000.677  000.677: sourcing /root/.vim/bundle/vim-airline/autoload/airline/builder.vim
876.864  000.348  000.348: sourcing /root/.vim/bundle/vim-airline/autoload/airline/extensions/default.vim
972.240  000.829  000.829: sourcing /root/.vim/bundle/syntastic/autoload/syntastic/log.vim
972.376  246.577: opening buffers
979.875  007.499: BufEnter autocommands
979.883  000.008: editing files in windows
990.576  010.693: VimEnter autocommands
990.585  000.009: before starting main loop
996.088  000.484  000.484: sourcing /root/.vim/bundle/vim-signify/autoload/sy.vim
1017.784  019.190  019.190: sourcing /root/.vim/bundle/vim-fugitive/autoload/fugitive.vim
1034.962  025.703: first screen update
1034.968  000.006: --- VIM STARTED ---
